id,label,timeset,rec_dec_net_data,message_handling,enter_blockchain,enter_vm,add_block_to_chain,pyethapp,pyethereum,pydevp2p,pyrlp,weight,clustering,eigencentrality,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,authority,hub,modularity_class,pageranks,componentnumber,strongcompnum
0,peer.py,,true,,,,,,,true,,7,0.1666666716337204,0.012381956218917148,5.0,0.358974358974359,0.4488095238095238,35.0,1,2,3,1.0,7.0,8.0,0.0,0.0,0,0.03817204182031447,0,1
1,muxsession.py,,true,,,,,,,true,,2,0.1666666716337204,0.022523896973670347,7.0,0.23333333333333334,0.3411564625850341,16.0,2,2,4,5.0,2.0,7.0,0.0,0.0,0,0.054401455198958976,0,1
2,multiplexer.py,,true,,,,,,,true,,3,0.0,0.016755712416969208,8.0,0.1917808219178082,0.26454081632653054,0.0,1,1,2,1.0,3.0,4.0,0.0,0.0,0,0.03313047402432673,0,1
3,rlpxcipher.py,,true,,,,,,,true,,1,0.5,0.016755712416969208,6.0,0.27450980392156865,0.34047619047619054,24.0,1,1,2,1.0,1.0,2.0,0.0,0.0,0,0.03313047402432673,0,1
4,protocol.py,,true,true,,,,,,true,,8,0.20000000298023224,0.26461399529684004,4.0,0.43478260869565216,0.5249999999999999,56.99999999999999,3,3,6,7.0,7.0,14.0,0.0,0.36015388,0,0.0689190859210264,0,0
5,eth_protocol.py,,true,true,true,,,true,,,,4,0.3333333432674408,0.16929231780826026,5.0,0.3333333333333333,0.41166666666666674,8.0,2,2,4,6.0,2.0,8.0,0.19565046,0.0,0,0.049062360176176684,0,0
6,eth_service.py,,,true,true,true,true,true,,,,9,0.190476194024086,0.4270864531658049,4.0,0.45454545454545453,0.575,44.0,4,4,8,9.0,11.0,20.0,0.0,0.0,1,0.10043407543339604,0,0
7,synchronizer.py,,,true,,,,true,,,,6,0.0,0.12723602727104347,5.0,0.3225806451612903,0.395,0.0,1,1,2,6.0,4.0,10.0,0.0,0.0,1,0.03134483653196127,0,0
8,sedes/lists.py,,,,true,,,,,,true,1,0.0,0.27270872567776155,4.0,0.37037037037037035,0.4333333333333334,0.0,1,1,2,1.0,1.0,2.0,0.0,0.25386846,1,0.032076688573212525,0,0
9,blocks.py,,,false,true,true,true,,true,,,11,0.0476190485060215,1.0,3.0,0.5555555555555556,0.6666666666666666,87.0,6,6,12,7.0,10.0,17.0,0.9346435,0.0,1,0.1558085324685957,0,0
10,processblock.py,,,,,true,,,true,,,14,0.0,0.8825171650828729,4.0,0.4,0.5,22.0,4,4,8,7.0,12.0,19.0,0.0,0.82227075,1,0.10339841394394796,0,0
11,vm.py,,,,,true,,,true,,,2,0.0,0.23715995342213972,5.0,0.29411764705882354,0.365,0.0,1,1,2,9.0,2.0,11.0,0.22334571,0.0,1,0.031963579850566935,0,0
12,refcount_db.py,,,,,,true,,true,,,4,0.3333333432674408,0.25823358070858754,6.0,0.2564102564102564,0.33499999999999996,13.0,2,2,4,14.0,4.0,18.0,0.19565046,0.0,2,0.07625821811978685,0,0
13,chain.py,,,,,,true,,true,,,16,0.15000000596046448,0.44881714330130046,4.0,0.43478260869565216,0.525,45.0,3,3,6,5.0,16.0,21.0,0.0,0.36015388,2,0.11703330329127838,0,0
14,leveldb_service.py,,,,,,true,true,,,,2,0.3333333432674408,0.1527032776120262,5.0,0.3225806451612903,0.39499999999999996,9.0,2,1,3,4.0,1.0,5.0,0.0,0.0,2,0.07486651277618843,0,0
